,Season,Team_1,Team_2,T1_COL,T1_DOL,T1_MOR,T1_POM,T1_RTH,T1_SAG,T1_WLK,T1_WOL,T1_Seed,T2_COL,T2_DOL,T2_MOR,T2_POM,T2_RTH,T2_SAG,T2_WLK,T2_WOL,T2_Seed,Result
75,2004,1251,1386,163,190,194,181,199,196,171,192,16,3,1,12,5,2,2,1,4,1,0
76,2004,1390,1427,4,2,7,12,4,6,4,1,1,183,206,213,216,219,233,203,211,16,1
77,2004,1140,1393,40,33,40,31,37,30,32,43,12,15,23,24,27,21,35,26,17,5,0
78,2004,1343,1400,110,90,133,102,132,116,102,119,14,13,12,20,17,15,15,17,11,3,0
79,2004,1150,1403,30,27,45,39,35,31,29,32,9,31,31,31,29,27,26,34,29,8,0
80,2004,1433,1448,59,55,78,82,87,79,52,67,13,17,13,15,13,12,11,15,13,4,0
81,2004,1130,1428,26,28,28,40,29,38,38,25,6,32,32,42,44,40,39,41,37,11,1
82,2004,1153,1190,10,16,13,15,16,14,11,16,4,47,47,93,67,88,73,47,64,13,1
83,2004,1210,1320,12,9,10,10,9,8,8,10,3,66,74,81,80,79,84,72,76,14,1
84,2004,1228,1293,14,15,16,19,20,18,16,20,5,51,51,73,63,73,50,50,61,12,1
85,2004,1227,1242,70,63,63,58,85,80,58,85,13,18,20,14,25,24,23,20,24,4,0
86,2004,1197,1246,261,276,255,276,289,287,275,287,16,1,5,2,4,3,4,3,2,1,0
87,2004,1272,1376,25,25,34,32,30,29,27,26,7,34,29,37,35,23,24,30,23,10,1
88,2004,1280,1284,5,7,8,7,7,9,7,5,2,123,155,215,188,186,181,152,161,15,1
89,2004,1301,1418,16,11,9,6,11,12,12,12,3,76,76,68,60,83,71,59,90,14,1
90,2004,1186,1329,140,126,124,129,144,127,115,150,15,6,6,5,9,8,5,6,7,2,0
91,2004,1334,1344,60,57,90,71,81,72,63,63,12,20,22,23,21,22,22,22,22,5,1
92,2004,1338,1416,7,8,6,3,6,10,10,6,3,62,59,123,98,93,86,67,57,14,1
93,2004,1412,1449,42,50,41,36,38,40,39,44,9,54,58,39,51,55,53,49,55,8,1
94,2004,1435,1444,24,30,29,24,19,21,24,21,6,29,21,30,30,43,28,23,40,11,1
95,2004,1350,1458,53,54,46,38,56,45,42,58,11,11,14,4,14,18,16,13,19,6,0
96,2004,1257,1462,27,34,19,23,25,20,21,28,10,41,37,21,26,42,37,28,45,7,0
97,2004,1104,1390,39,45,27,34,28,33,36,31,8,4,2,7,12,4,6,4,1,1,1
98,2004,1163,1177,9,10,3,8,10,7,9,8,2,38,41,44,52,45,47,43,38,7,1
99,2004,1181,1371,2,3,1,1,1,1,2,3,1,28,40,32,28,31,34,37,35,8,1
100,2004,1211,1305,8,4,22,2,5,3,5,9,2,35,35,36,22,44,25,25,52,10,0
101,2004,1386,1403,3,1,12,5,2,2,1,4,1,31,31,31,29,27,26,34,29,8,1
102,2004,1268,1393,23,18,17,16,14,17,18,14,4,15,23,24,27,21,35,26,17,5,0
103,2004,1314,1400,21,17,11,11,13,13,14,15,6,13,12,20,17,15,15,17,11,3,0
104,2004,1264,1448,46,53,70,56,65,57,44,56,12,17,13,15,13,12,11,15,13,4,0
105,2004,1130,1210,26,28,28,40,29,38,38,25,6,12,9,10,10,9,8,8,10,3,0
106,2004,1153,1228,10,16,13,15,16,14,11,16,4,14,15,16,19,20,18,16,20,5,0
107,2004,1242,1334,18,20,14,25,24,23,20,24,4,60,57,90,71,81,72,63,63,12,1
108,2004,1272,1329,25,25,34,32,30,29,27,26,7,6,6,5,9,8,5,6,7,2,0
109,2004,1338,1458,7,8,6,3,6,10,10,6,3,11,14,4,14,18,16,13,19,6,1
110,2004,1246,1412,1,5,2,4,3,4,3,2,1,42,50,41,36,38,40,39,44,9,0
111,2004,1301,1435,16,11,9,6,11,12,12,12,3,24,30,29,24,19,21,24,21,6,0
112,2004,1280,1462,5,7,8,7,7,9,7,5,2,41,37,21,26,42,37,28,45,7,0
113,2004,1104,1393,39,45,27,34,28,33,36,31,8,15,23,24,27,21,35,26,17,5,1
114,2004,1163,1435,9,10,3,8,10,7,9,8,2,24,30,29,24,19,21,24,21,6,1
115,2004,1329,1338,6,6,5,9,8,5,6,7,2,7,8,6,3,6,10,10,6,3,1
116,2004,1386,1448,3,1,12,5,2,2,1,4,1,17,13,15,13,12,11,15,13,4,1
117,2004,1181,1228,2,3,1,1,1,1,2,3,1,14,15,16,19,20,18,16,20,5,1
118,2004,1210,1305,12,9,10,10,9,8,8,10,3,35,35,36,22,44,25,25,52,10,1
119,2004,1242,1412,18,20,14,25,24,23,20,24,4,42,50,41,36,38,40,39,44,9,1
120,2004,1400,1462,13,12,20,17,15,15,17,11,3,41,37,21,26,42,37,28,45,7,0
121,2004,1104,1163,39,45,27,34,28,33,36,31,8,9,10,3,8,10,7,9,8,2,0
122,2004,1329,1386,6,6,5,9,8,5,6,7,2,3,1,12,5,2,2,1,4,1,1
123,2004,1181,1462,2,3,1,1,1,1,2,3,1,41,37,21,26,42,37,28,45,7,1
124,2004,1210,1242,12,9,10,10,9,8,8,10,3,18,20,14,25,24,23,20,24,4,1
125,2004,1163,1181,9,10,3,8,10,7,9,8,2,2,3,1,1,1,1,2,3,1,1
126,2004,1210,1329,12,9,10,10,9,8,8,10,3,6,6,5,9,8,5,6,7,2,1
127,2004,1163,1210,9,10,3,8,10,7,9,8,2,12,9,10,10,9,8,8,10,3,1
128,2005,1105,1324,243,280,279,268,274,287,247,253,16,206,194,176,173,190,186,192,193,16,0
129,2005,1112,1429,7,14,9,15,11,12,10,6,3,61,67,31,26,53,44,37,48,14,1
130,2005,1130,1335,9,10,25,21,15,18,18,7,4,86,79,91,81,112,69,64,86,13,1
131,2005,1153,1234,22,25,24,25,21,23,21,24,7,31,27,28,27,24,26,27,33,10,1
132,2005,1211,1457,12,13,32,16,16,21,13,11,3,75,69,141,94,118,106,90,67,14,1
133,2005,1192,1228,177,183,198,193,211,201,182,182,16,1,1,3,1,1,1,1,1,1,0
134,2005,1184,1246,132,112,174,148,159,144,122,118,15,10,5,14,13,8,8,8,8,2,0
135,2005,1305,1400,27,46,63,47,45,41,43,36,9,38,29,36,34,27,25,35,37,8,1
136,2005,1310,1328,124,115,120,117,150,127,111,137,14,14,11,17,17,12,10,12,14,3,0
137,2005,1334,1338,23,17,67,39,33,27,24,12,8,28,28,21,22,25,29,26,29,9,1
138,2005,1403,1417,26,23,33,36,26,22,30,25,6,30,51,42,46,36,51,40,32,11,1
139,2005,1261,1412,25,31,22,32,30,30,28,35,6,48,57,48,55,54,48,50,50,11,0
140,2005,1428,1431,24,21,27,19,22,24,25,19,6,36,45,51,62,57,52,53,43,11,1
141,2005,1151,1448,134,137,170,165,151,143,131,129,15,6,3,5,5,4,4,4,3,2,0
142,2005,1285,1449,160,167,178,192,177,182,176,170,16,3,6,8,10,5,5,6,4,1,0
143,2005,1166,1452,40,48,46,37,47,45,41,42,10,34,30,30,35,32,38,39,28,7,0
144,2005,1104,1454,20,15,11,18,20,16,16,20,5,45,35,56,42,60,36,38,40,12,0
145,2005,1137,1242,102,87,151,110,137,114,97,84,14,4,8,19,12,7,9,7,10,3,1
146,2005,1163,1416,15,18,7,6,13,13,14,16,2,119,151,184,186,161,169,142,113,15,1
147,2005,1175,1181,162,186,210,199,227,210,172,162,16,5,4,2,3,3,3,3,5,1,0
148,2005,1196,1325,19,20,4,11,18,14,15,21,4,64,70,102,86,89,75,70,61,13,1
149,2005,1203,1210,49,47,29,44,48,40,33,53,12,29,24,16,23,23,20,22,26,5,0
150,2005,1235,1278,51,43,40,45,42,50,57,52,9,32,32,47,31,28,37,36,41,8,1
151,2005,1257,1418,11,9,6,9,9,7,9,15,4,70,76,70,58,82,76,67,62,13,1
152,2005,1277,1330,18,16,10,4,10,11,11,17,5,41,37,77,70,71,53,44,27,12,1
153,2005,1280,1390,37,34,34,41,37,32,29,38,9,39,49,38,38,39,49,42,39,8,1
154,2005,1150,1301,33,38,55,49,40,46,34,34,7,50,36,13,24,29,28,31,45,10,0
155,2005,1314,1324,2,2,1,2,2,2,2,2,1,206,194,176,173,190,186,192,193,16,1
156,2005,1329,1368,8,7,12,7,6,6,5,9,2,133,123,168,131,148,140,118,121,15,1
157,2005,1356,1388,21,26,54,29,34,31,23,23,7,35,42,7,63,50,55,49,30,10,1
158,2005,1393,1436,13,12,18,14,14,15,19,13,4,52,39,107,73,88,43,32,44,13,0
159,2005,1307,1437,43,33,35,28,31,39,48,31,12,16,22,15,8,17,17,17,22,5,0
160,2005,1320,1458,44,53,81,50,52,42,51,47,11,17,19,20,20,19,19,20,18,6,0
161,2005,1112,1412,7,14,9,15,11,12,10,6,3,48,57,48,55,54,48,50,50,11,1
162,2005,1228,1305,1,1,3,1,1,1,1,1,1,27,46,63,47,45,41,43,36,9,1
163,2005,1153,1246,22,25,24,25,21,23,21,24,7,10,5,14,13,8,8,8,8,2,0
164,2005,1211,1403,12,13,32,16,16,21,13,11,3,26,23,33,36,26,22,30,25,6,0
165,2005,1328,1428,14,11,17,17,12,10,12,14,3,24,21,27,19,22,24,25,19,6,0
166,2005,1334,1449,23,17,67,39,33,27,24,12,8,3,6,8,10,5,5,6,4,1,0
167,2005,1448,1452,6,3,5,5,4,4,4,3,2,34,30,30,35,32,38,39,28,7,0
168,2005,1130,1454,9,10,25,21,15,18,18,7,4,45,35,56,42,60,36,38,40,12,0
169,2005,1181,1280,5,4,2,3,3,3,3,5,1,37,34,34,41,37,32,29,38,9,1
170,2005,1210,1257,29,24,16,23,23,20,22,26,5,11,9,6,9,9,7,9,15,4,0
171,2005,1277,1436,18,16,10,4,10,11,11,17,5,52,39,107,73,88,43,32,44,13,1
172,2005,1163,1301,15,18,7,6,13,13,14,16,2,50,36,13,24,29,28,31,45,10,0
173,2005,1235,1314,51,43,40,45,42,50,57,52,9,2,2,1,2,2,2,2,2,1,0
174,2005,1329,1356,8,7,12,7,6,6,5,9,2,21,26,54,29,34,31,23,23,7,1
175,2005,1196,1437,19,20,4,11,18,14,15,21,4,16,22,15,8,17,17,17,22,5,0
176,2005,1137,1458,102,87,151,110,137,114,97,84,14,17,19,20,20,19,19,20,18,6,0
177,2005,1112,1329,7,14,9,15,11,12,10,6,3,8,7,12,7,6,6,5,9,2,1
178,2005,1228,1454,1,1,3,1,1,1,1,1,1,45,35,56,42,60,36,38,40,12,1
179,2005,1257,1449,11,9,6,9,9,7,9,15,4,3,6,8,10,5,5,6,4,1,1
180,2005,1403,1452,26,23,33,36,26,22,30,25,6,34,30,30,35,32,38,39,28,7,0
181,2005,1246,1428,10,5,14,13,8,8,8,8,2,24,21,27,19,22,24,25,19,6,1
182,2005,1181,1277,5,4,2,3,3,3,3,5,1,18,16,10,4,10,11,11,17,5,0
183,2005,1314,1437,2,2,1,2,2,2,2,2,1,16,22,15,8,17,17,17,22,5,1
184,2005,1301,1458,50,36,13,24,29,28,31,45,10,17,19,20,20,19,19,20,18,6,0
185,2005,1112,1228,7,14,9,15,11,12,10,6,3,1,1,3,1,1,1,1,1,1,0
186,2005,1257,1452,11,9,6,9,9,7,9,15,4,34,30,30,35,32,38,39,28,7,1
187,2005,1246,1277,10,5,14,13,8,8,8,8,2,18,16,10,4,10,11,11,17,5,0
188,2005,1314,1458,2,2,1,2,2,2,2,2,1,17,19,20,20,19,19,20,18,6,1
189,2005,1228,1257,1,1,3,1,1,1,1,1,1,11,9,6,9,9,7,9,15,4,1
190,2005,1277,1314,18,16,10,4,10,11,11,17,5,2,2,1,2,2,2,2,2,1,0
191,2005,1228,1314,1,1,3,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,0
192,2006,1214,1284,257,295,276,261,278,278,257,266,16,170,158,190,194,199,177,164,165,16,0
193,2006,1104,1266,54,61,45,71,48,57,61,57,10,32,35,29,22,34,31,35,35,7,1
194,2006,1130,1334,18,12,15,19,17,17,18,14,4,79,78,74,89,109,79,82,99,13,1
195,2006,1181,1380,1,1,3,1,1,1,1,1,1,171,186,232,175,229,205,160,173,16,1
196,2006,1196,1375,13,8,8,5,8,6,7,10,3,59,74,76,75,86,91,54,61,14,1
197,2006,1203,1423,17,9,42,31,18,22,16,6,8,44,41,71,40,55,48,29,33,9,1
198,2006,1211,1462,6,5,39,27,15,18,17,5,3,64,57,59,67,66,59,65,68,14,1
199,2006,1102,1228,48,44,58,49,52,56,59,52,13,9,11,9,11,7,7,9,9,4,0
200,2006,1231,1361,38,37,33,41,26,25,30,25,6,51,52,51,51,64,62,63,64,11,1
201,2006,1233,1261,56,59,85,61,78,61,46,50,13,15,19,17,13,14,12,12,16,4,0
202,2006,1285,1305,67,66,115,90,94,100,71,72,12,20,18,50,21,33,27,20,20,5,1
203,2006,1397,1457,14,17,22,15,16,14,15,15,2,81,95,118,91,110,71,78,71,15,1
204,2006,1393,1401,21,22,30,52,24,26,32,22,5,34,26,19,33,30,39,39,40,12,0
205,2006,1125,1417,154,167,150,143,200,182,147,159,15,7,10,7,12,13,13,14,17,2,0
206,2006,1429,1449,53,58,87,66,72,67,56,58,12,19,20,14,20,22,20,23,29,5,0
207,2006,1328,1454,24,29,27,38,27,35,31,32,6,61,73,57,68,79,66,57,67,11,0
208,2006,1371,1455,49,54,70,56,45,58,53,53,10,22,25,54,39,37,32,27,28,7,0
209,2006,1112,1458,37,36,26,35,38,41,47,48,8,31,50,40,34,28,36,34,38,9,1
210,2006,1133,1242,46,51,47,32,49,37,33,47,13,16,16,4,4,11,11,10,19,4,1
211,2006,1116,1137,28,28,16,16,20,19,22,26,8,43,23,91,42,46,43,41,18,9,0
212,2006,1107,1163,134,139,153,137,165,154,120,146,16,3,2,2,2,2,2,2,2,1,0
213,2006,1206,1277,45,43,75,28,53,38,25,37,11,23,27,18,23,23,29,26,21,6,1
214,2006,1207,1320,27,21,20,17,21,16,19,23,7,25,34,56,24,36,33,28,34,10,1
215,2006,1246,1412,35,38,23,30,29,34,37,39,8,33,33,52,44,42,44,42,30,9,1
216,2006,1272,1331,4,4,10,7,4,5,5,4,1,128,119,109,128,138,121,111,123,16,1
217,2006,1143,1301,47,40,46,50,43,51,51,55,7,36,30,28,25,25,24,36,31,10,0
218,2006,1293,1314,66,88,108,93,96,92,69,62,14,11,14,1,10,10,9,8,13,3,0
219,2006,1234,1322,12,15,13,14,12,15,13,11,3,73,65,122,74,102,87,85,54,14,0
220,2006,1172,1326,115,127,126,120,132,125,109,114,15,5,7,12,9,6,8,6,7,2,0
221,2006,1245,1338,55,64,62,59,70,65,50,51,12,10,13,11,8,9,10,11,12,5,0
222,2006,1335,1400,93,105,119,103,115,97,94,103,15,8,6,5,6,5,4,4,8,2,0
223,2006,1284,1437,170,158,190,194,199,177,164,165,16,2,3,6,3,3,3,3,3,1,0
224,2006,1356,1452,30,46,53,48,57,45,44,46,11,29,24,21,18,19,21,24,24,6,0
225,2006,1130,1285,18,12,15,19,17,17,18,14,4,67,66,115,90,94,100,71,72,12,1
226,2006,1181,1203,1,1,3,1,1,1,1,1,1,17,9,42,31,18,22,16,6,8,1
227,2006,1196,1454,13,8,8,5,8,6,7,10,3,61,73,57,68,79,66,57,67,11,1
228,2006,1211,1231,6,5,39,27,15,18,17,5,3,38,37,33,41,26,25,30,25,6,1
229,2006,1261,1401,15,19,17,13,14,12,12,16,4,34,26,19,33,30,39,39,40,12,1
230,2006,1104,1417,54,61,45,71,48,57,61,57,10,7,10,7,12,13,13,14,17,2,0
231,2006,1228,1449,9,11,9,11,7,7,9,9,4,19,20,14,20,22,20,23,29,5,0
232,2006,1397,1455,14,17,22,15,16,14,15,15,2,22,25,54,39,37,32,27,28,7,0
233,2006,1133,1338,46,51,47,32,49,37,33,47,13,10,13,11,8,9,10,11,12,5,1
234,2006,1163,1246,3,2,2,2,2,2,2,2,1,35,38,23,30,29,34,37,39,8,1
235,2006,1206,1314,45,43,75,28,53,38,25,37,11,11,14,1,10,10,9,8,13,3,1
236,2006,1207,1326,27,21,20,17,21,16,19,23,7,5,7,12,9,6,8,6,7,2,1
237,2006,1137,1272,43,23,91,42,46,43,41,18,9,4,4,10,7,4,5,5,4,1,0
238,2006,1301,1400,36,30,28,25,25,24,36,31,10,8,6,5,6,5,4,4,8,2,0
239,2006,1112,1437,37,36,26,35,38,41,47,48,8,2,3,6,3,3,3,3,3,1,0
240,2006,1322,1452,73,65,122,74,102,87,85,54,14,29,24,21,18,19,21,24,24,6,0
241,2006,1181,1261,1,1,3,1,1,1,1,1,1,15,19,17,13,14,12,12,16,4,0
242,2006,1133,1272,46,51,47,32,49,37,33,47,13,4,4,10,7,4,5,5,4,1,0
243,2006,1400,1452,8,6,5,6,5,4,4,8,2,29,24,21,18,19,21,24,24,6,1
244,2006,1211,1417,6,5,39,27,15,18,17,5,3,7,10,7,12,13,13,14,17,2,0
245,2006,1163,1449,3,2,2,2,2,2,2,2,1,19,20,14,20,22,20,23,29,5,1
246,2006,1196,1207,13,8,8,5,8,6,7,10,3,27,21,20,17,21,16,19,23,7,1
247,2006,1206,1455,45,43,75,28,53,38,25,37,11,22,25,54,39,37,32,27,28,7,1
248,2006,1130,1437,18,12,15,19,17,17,18,14,4,2,3,6,3,3,3,3,3,1,0
249,2006,1261,1400,15,19,17,13,14,12,12,16,4,8,6,5,6,5,4,4,8,2,1
250,2006,1272,1417,4,4,10,7,4,5,5,4,1,7,10,7,12,13,13,14,17,2,0
251,2006,1196,1437,13,8,8,5,8,6,7,10,3,2,3,6,3,3,3,3,3,1,1
252,2006,1163,1206,3,2,2,2,2,2,2,2,1,45,43,75,28,53,38,25,37,11,0
253,2006,1196,1206,13,8,8,5,8,6,7,10,3,45,43,75,28,53,38,25,37,11,1
254,2006,1261,1417,15,19,17,13,14,12,12,16,4,7,10,7,12,13,13,14,17,2,0
255,2006,1196,1417,13,8,8,5,8,6,7,10,3,7,10,7,12,13,13,14,17,2,1
256,2007,1197,1310,180,208,248,256,235,231,204,180,16,142,138,143,169,173,162,152,152,16,0
257,2007,1130,1403,36,37,37,42,36,34,43,38,7,52,48,68,68,57,64,65,59,10,1
258,2007,1139,1330,22,31,66,27,41,21,36,26,5,54,57,67,69,68,68,56,45,12,1
259,2007,1125,1207,120,129,129,132,152,126,105,115,15,10,8,4,6,7,8,6,8,2,0
260,2007,1211,1231,56,53,41,54,47,46,52,47,10,37,27,30,20,30,28,28,36,7,0
261,2007,1257,1390,24,29,9,15,29,33,31,37,6,55,63,47,53,39,53,62,46,11,1
262,2007,1172,1268,38,26,69,74,61,55,25,21,13,18,13,8,11,14,11,12,18,4,0
263,2007,1266,1277,21,24,27,28,24,36,39,27,8,29,32,33,13,23,22,27,33,9,0
264,2007,1184,1314,148,162,188,188,187,168,164,147,16,3,3,1,1,2,1,1,4,1,0
265,2007,1148,1326,154,160,151,174,185,193,161,162,16,1,1,6,4,1,2,2,1,1,0
266,2007,1338,1460,7,10,15,12,10,10,11,11,3,76,83,87,97,97,88,79,78,14,1
267,2007,1335,1401,90,89,104,102,106,110,91,101,14,13,11,5,5,9,9,9,16,3,0
268,2007,1417,1451,2,7,11,8,3,6,5,3,2,143,140,184,184,157,153,150,140,15,1
269,2007,1181,1433,15,15,17,10,15,13,13,24,6,39,44,74,72,64,58,34,32,11,0
270,2007,1203,1435,66,68,78,82,83,71,69,70,11,47,50,45,51,46,54,55,49,6,0
271,2007,1331,1450,95,87,109,94,101,96,80,98,14,16,17,25,33,13,23,20,15,3,0
272,2007,1140,1462,25,42,43,55,42,44,32,25,8,33,55,22,34,50,41,29,53,9,0
273,2007,1196,1238,6,5,3,3,4,3,3,5,1,178,225,273,292,238,232,196,168,16,1
274,2007,1242,1310,5,4,2,2,6,4,4,6,1,142,138,143,169,173,162,152,152,16,1
275,2007,1246,1437,19,21,20,18,17,18,16,22,8,23,20,16,19,22,20,17,31,9,1
276,2007,1272,1317,9,6,7,9,8,7,8,7,2,133,155,164,185,158,143,140,131,15,1
277,2007,1166,1305,26,36,21,32,45,30,19,29,10,17,19,57,63,27,31,21,12,7,0
278,2007,1275,1332,111,104,89,93,107,99,96,108,14,12,14,13,21,11,15,14,10,3,0
279,2007,1112,1345,14,25,32,23,12,12,15,17,8,43,38,38,22,34,32,37,48,9,0
